a,alpha,h,t,v
0.0,0,0,490,0.0
0.0,0,0,491,0.0
0.0,0,0,492,0.0
0.0,0,0,493,0.0
0.0,0,0,494,0.0
0.0,0,0,495,0.0
0.0,0,0,496,0.0
0.0,0,0,497,0.0
0.0,0,0,498,0.0
0.0,0,0,499,0.0
0.0,0,0,500,0.0
0.0,0,0,501,0.0
0.0,0,0,502,0.0
0.0,0,0,503,0.0
0.0,0,0,504,0.0
0.0,0,0,505,0.0
0.0,0,0,506,0.0
0.0,0,0,507,0.0
0.6944444444444444,0,0,508,0.6944444444444444
0.6944444444444444,0,0,509,1.3888888888888888
0.6944444444444446,0,0,510,2.0833333333333335
0.6944444444444442,0,0,511,2.7777777777777777
0.6944444444444451,0,0,512,3.4722222222222228
0.6944444444444442,0,0,513,4.166666666666667
0.5050505050505052,0,0,514,4.671717171717172
0.5050505050505043,0,0,515,5.1767676767676765
0.5050505050505052,0,0,516,5.681818181818182
0.5050505050505052,0,0,517,6.186868686868687
0.5050505050505052,0,0,518,6.691919191919192
0.5050505050505043,0,0,519,7.196969696969696
0.5050505050505052,0,0,520,7.7020202020202015
0.5050505050505043,0,0,521,8.207070707070706
0.5050505050505052,0,0,522,8.712121212121211
0.5050505050505052,0,0,523,9.217171717171716
0.5050505050505052,0,0,524,9.722222222222221
0.4629629629629637,0,0,525,10.185185185185185
0.4629629629629619,0,0,526,10.648148148148147
0.4629629629629637,0,0,527,11.11111111111111
0.4629629629629619,0,0,528,11.574074074074073
0.46296296296296546,0,0,529,12.037037037037038
0.4629629629629619,0,0,530,12.5
0.4629629629629637,0,0,531,12.962962962962964
0.4629629629629619,0,0,532,13.425925925925926
0.4629629629629637,0,0,533,13.88888888888889
0.0,0,0,534,13.88888888888889
0.0,0,0,535,13.88888888888889
0.0,0,0,536,13.88888888888889
0.0,0,0,537,13.88888888888889
0.0,0,0,538,13.88888888888889
0.0,0,0,539,13.88888888888889
0.0,0,0,540,13.88888888888889
0.0,0,0,541,13.88888888888889
0.0,0,0,542,13.88888888888889
0.0,0,0,543,13.88888888888889
0.0,0,0,544,13.88888888888889
0.0,0,0,545,13.88888888888889
