t,v,a,dS,alpha,h,a_new
219,16.674591999999997,0.6705599999999983,16.674591999999997,0,0,0.5587999999999997
220,17.121631999999998,0.4470400000000012,17.121631999999998,0,0,0.4246880000000015
221,17.523968,0.4023360000000018,17.523968,0,0,0.4023360000000018
222,17.926304000000002,0.4023360000000018,17.926304000000002,0,0,0.3799840000000003
223,18.283936,0.35763199999999884,18.283936,0,0,0.20116799999999913
224,18.32864,0.04470399999999941,18.32864,0,0,-0.1117600000000003
225,18.060416,-0.268224,18.060416,0,0,-0.2905759999999997
226,17.747488,-0.31292799999999943,17.747488,0,0,-0.2905759999999997
227,17.479264,-0.268224,17.479264,0,0,-0.3576320000000006
228,17.032224,-0.4470400000000012,17.032224,0,0,-0.536448
229,16.406368,-0.6258559999999989,16.406368,0,0,-0.4917440000000006
230,16.048735999999998,-0.3576320000000024,16.048735999999998,0,0,-0.1788160000000012
231,16.048735999999998,0.0,16.048735999999998,0,0,-0.04470399999999852
232,15.959328000000001,-0.08940799999999705,15.959328000000001,0,0,-0.22351999999999972
233,15.601695999999999,-0.3576320000000024,15.601695999999999,0,0,-0.4023360000000009
234,15.154656,-0.44703999999999944,15.154656,0,0,-0.5140959999999994
235,14.573504,-0.5811519999999994,14.573504,0,0,-0.4470400000000003
236,14.260575999999999,-0.3129280000000012,14.260575999999999,0,0,-0.33528
237,13.902944,-0.35763199999999884,13.902944,0,0,-0.29057599999999884
238,13.679424000000001,-0.22351999999999883,13.679424000000001,0,0,-0.17881599999999942
239,13.545312000000001,-0.134112,13.545312000000001,0,0,-0.1117600000000003
240,13.455904,-0.0894080000000006,13.455904,0,0,-0.0894080000000006
241,13.366496,-0.0894080000000006,13.366496,0,0,-0.067056
242,13.321792,-0.04470399999999941,13.321792,0,0,-0.022351999999999705
243,13.321792,0.0,13.321792,0,0,0.0
244,13.321792,0.0,13.321792,0,0,0.0
245,13.321792,0.0,13.321792,0,0,-0.022352000000000594
246,13.277088,-0.04470400000000119,13.277088,0,0,-0.022352000000000594
247,13.277088,0.0,13.277088,0,0,-0.022351999999999705
248,13.232384,-0.04470399999999941,13.232384,0,0,-0.2905759999999997
249,12.695936,-0.536448,12.695936,0,0,-0.8493759999999995
250,11.533632,-1.162303999999999,11.533632,0,0,-1.2517119999999995
251,10.192512,-1.34112,10.192512,0,0,-1.5199360000000004
252,8.49376,-1.6987520000000007,8.49376,0,0,-1.9669760000000003
253,6.25856,-2.2352,6.25856,0,0,-2.324608
254,3.844544,-2.414016,3.844544,0,0,-2.212848
255,1.8328639999999998,-2.01168,1.8328639999999998,0,0,-1.631696
256,0.581152,-1.251712,0.581152,0,0,-0.9164319999999999
257,0.0,-0.581152,0.0,0,0,-0.290576
258,0.0,0.0,0.0,0,0,0.0
