t,v,a,dS,h,alpha
53,16.26984126984127,0.3968253968253954,862.3015873015872,0,0
54,16.666666666666664,0.3968253968253954,899.9999999999999,0,0
55,17.063492063492063,0.39682539682539897,938.4920634920635,0,0
56,17.46031746031746,0.3968253968253954,977.7777777777777,0,0
57,17.857142857142854,0.3968253968253954,1017.8571428571427,0,0
58,18.253968253968253,0.39682539682539897,1058.7301587301586,0,0
59,18.65079365079365,0.3968253968253954,1100.3968253968253,0,0
60,19.047619047619044,0.3968253968253954,1142.8571428571427,0,0
61,19.444444444444443,0.39682539682539897,1186.111111111111,0,0
62,19.444444444444443,0.0,1205.5555555555554,0,0
63,19.444444444444443,0.0,1225.0,0,0
64,19.444444444444443,0.0,1244.4444444444443,0,0
65,19.444444444444443,0.0,1263.8888888888887,0,0
66,19.444444444444443,0.0,1283.3333333333333,0,0
67,19.444444444444443,0.0,1302.7777777777776,0,0
68,19.444444444444443,0.0,1322.2222222222222,0,0
69,19.444444444444443,0.0,1341.6666666666665,0,0
70,19.444444444444443,0.0,1361.111111111111,0,0
71,19.444444444444443,0.0,1380.5555555555554,0,0
72,19.444444444444443,0.0,1400.0,0,0
73,19.444444444444443,0.0,1419.4444444444443,0,0
74,19.444444444444443,0.0,1438.8888888888887,0,0
75,19.444444444444443,0.0,1458.3333333333333,0,0
76,19.444444444444443,0.0,1477.7777777777776,0,0
77,19.444444444444443,0.0,1497.2222222222222,0,0
78,19.444444444444443,0.0,1516.6666666666665,0,0
79,19.444444444444443,0.0,1536.111111111111,0,0
80,19.444444444444443,0.0,1555.5555555555554,0,0
81,19.444444444444443,0.0,1574.9999999999998,0,0
82,19.444444444444443,0.0,1594.4444444444443,0,0
83,19.444444444444443,0.0,1613.8888888888887,0,0
84,19.444444444444443,0.0,1633.3333333333333,0,0
85,19.444444444444443,0.0,1652.7777777777776,0,0
86,19.444444444444443,0.0,1672.2222222222222,0,0
87,19.444444444444443,0.0,1691.6666666666665,0,0
88,19.444444444444443,0.0,1711.1111111111109,0,0
89,19.444444444444443,0.0,1730.5555555555554,0,0
90,19.444444444444443,0.0,1749.9999999999998,0,0
91,19.444444444444443,0.0,1769.4444444444443,0,0
92,19.444444444444443,0.0,1788.8888888888887,0,0
93,19.444444444444443,0.0,1808.3333333333333,0,0
94,19.444444444444443,0.0,1827.7777777777776,0,0
95,19.444444444444443,0.0,1847.2222222222222,0,0
96,19.444444444444443,0.0,1866.6666666666665,0,0
97,19.444444444444443,0.0,1886.1111111111109,0,0
98,19.444444444444443,0.0,1905.5555555555554,0,0
99,19.444444444444443,0.0,1924.9999999999998,0,0
100,19.444444444444443,0.0,1944.4444444444443,0,0
101,19.444444444444443,0.0,1963.8888888888887,0,0
102,19.444444444444443,0.0,1983.3333333333333,0,0
103,19.444444444444443,0.0,2002.7777777777776,0,0
104,19.444444444444443,0.0,2022.2222222222222,0,0
105,19.444444444444443,0.0,2041.6666666666665,0,0
106,19.444444444444443,0.0,2061.111111111111,0,0
107,19.444444444444443,0.0,2080.555555555555,0,0
108,19.444444444444443,0.0,2100.0,0,0
109,19.444444444444443,0.0,2119.4444444444443,0,0
110,19.444444444444443,0.0,2138.8888888888887,0,0
111,19.444444444444443,0.0,2158.333333333333,0,0
112,18.749999999999996,-0.6944444444444464,2099.9999999999995,0,0
113,18.055555555555554,-0.6944444444444429,2040.2777777777776,0,0
114,17.36111111111111,-0.6944444444444429,1979.1666666666665,0,0
115,16.666666666666664,-0.6944444444444464,1916.6666666666663,0,0
116,15.972222222222221,-0.6944444444444429,1852.7777777777776,0,0
117,15.277777777777779,-0.6944444444444429,1787.5,0,0
118,14.583333333333334,-0.6944444444444446,1720.8333333333335,0,0
119,13.88888888888889,-0.6944444444444446,1652.7777777777778,0,0
120,13.88888888888889,0.0,1666.6666666666667,0,0
121,13.88888888888889,0.0,1680.5555555555557,0,0
122,13.88888888888889,0.0,1694.4444444444446,0,0
123,13.88888888888889,0.0,1708.3333333333335,0,0
124,13.88888888888889,0.0,1722.2222222222222,0,0
125,13.88888888888889,0.0,1736.111111111111,0,0
126,13.88888888888889,0.0,1750.0,0,0
127,13.88888888888889,0.0,1763.888888888889,0,0
128,13.88888888888889,0.0,1777.7777777777778,0,0
129,13.88888888888889,0.0,1791.6666666666667,0,0
130,13.88888888888889,0.0,1805.5555555555557,0,0
131,13.88888888888889,0.0,1819.4444444444446,0,0
132,13.88888888888889,0.0,1833.3333333333335,0,0
133,13.88888888888889,0.0,1847.2222222222222,0,0
134,13.88888888888889,0.0,1861.111111111111,0,0
135,13.88888888888889,0.0,1875.0,0,0
136,13.88888888888889,0.0,1888.888888888889,0,0
137,13.88888888888889,0.0,1902.7777777777778,0,0
138,13.88888888888889,0.0,1916.6666666666667,0,0
139,13.88888888888889,0.0,1930.5555555555557,0,0
140,13.88888888888889,0.0,1944.4444444444446,0,0
141,13.88888888888889,0.0,1958.3333333333335,0,0
