t,v,a,dS,alpha,h,a_new
1010,8.533333333333333,0.0,8.533333333333333,0,0,-0.2666666666666666
1011,8.0,-0.5333333333333328,8.0,0,0,-1.6222222222222218
1012,5.28888888888889,-2.7111111111111104,5.28888888888889,0,0,-2.466666666666667
1013,3.066666666666667,-2.2222222222222228,3.066666666666667,0,0,-2.0444444444444447
1014,1.2,-1.8666666666666667,1.2,0,0,-1.3555555555555556
1015,0.3555555555555556,-0.8444444444444444,0.3555555555555556,0,0,-0.5111111111111111
1016,0.1777777777777778,-0.1777777777777778,0.1777777777777778,0,0,-0.1777777777777778
1017,0.0,-0.1777777777777778,0.0,0,0,-0.0888888888888889
1018,0.0,0.0,0.0,0,0,0.0
1019,0.0,0.0,0.0,0,0,0.0
1020,0.0,0.0,0.0,0,0,0.0
1021,0.0,0.0,0.0,0,0,0.0
1022,0.0,0.0,0.0,0,0,0.0
1023,0.0,0.0,0.0,0,0,0.0
1024,0.0,0.0,0.0,0,0,0.0
1025,0.0,0.0,0.0,0,0,0.0
1026,0.0,0.0,0.0,0,0,0.0
1027,0.0,0.0,0.0,0,0,0.0
1028,0.0,0.0,0.0,0,0,0.0
1029,0.0,0.0,0.0,0,0,0.0
1030,0.0,0.0,0.0,0,0,0.0
1031,0.0,0.0,0.0,0,0,0.0888888888888889
1032,0.1777777777777778,0.1777777777777778,0.1777777777777778,0,0,0.6
1033,1.2,1.0222222222222221,1.2,0,0,1.2666666666666666
1034,2.711111111111111,1.5111111111111108,2.711111111111111,0,0,1.4444444444444442
1035,4.088888888888889,1.3777777777777775,4.088888888888889,0,0,1.2000000000000004
1036,5.111111111111112,1.022222222222223,5.111111111111112,0,0,1.1111111111111112
1037,6.311111111111111,1.199999999999999,6.311111111111111,0,0,1.0222222222222226
1038,7.155555555555557,0.8444444444444461,7.155555555555557,0,0,0.8444444444444446
1039,8.0,0.8444444444444432,8.0,0,0,0.8666666666666663
1040,8.88888888888889,0.8888888888888886,8.88888888888889,0,0,0.7777777777777777
1041,9.555555555555555,0.6666666666666663,9.555555555555555,0,0,0.666666666666667
1042,10.222222222222223,0.6666666666666682,10.222222222222223,0,0,0.5999999999999996
1043,10.755555555555555,0.5333333333333318,10.755555555555555,0,0,0.44444444444444375
1044,11.11111111111111,0.35555555555555585,11.11111111111111,0,0,0.3333333333333339
1045,11.422222222222222,0.3111111111111124,11.422222222222222,0,0,0.4222222222222225
1046,11.955555555555556,0.5333333333333318,11.955555555555556,0,0,0.4222222222222225
1047,12.266666666666667,0.3111111111111124,12.266666666666667,0,0,0.1555555555555559
1048,12.266666666666667,0.0,12.266666666666667,0,0,0.17777777777777715
1049,12.622222222222222,0.3555555555555539,12.622222222222222,0,0,0.3555555555555552
1050,12.977777777777778,0.35555555555555585,12.977777777777778,0,0,0.17777777777777803
1051,12.977777777777778,0.0,12.977777777777778,0,0,0.17777777777777715
1052,13.333333333333332,0.35555555555555585,13.333333333333332,0,0,0.08888888888888946
1053,13.155555555555557,-0.17777777777777595,13.155555555555557,0,0,-0.08888888888888768
1054,13.155555555555557,0.0,13.155555555555557,0,0,-0.17777777777777803
1055,12.8,-0.35555555555555585,12.8,0,0,-0.35555555555555607
1056,12.444444444444445,-0.35555555555555585,12.444444444444445,0,0,-1.1111111111111107
1057,10.57777777777778,-1.8666666666666663,10.57777777777778,0,0,-2.0444444444444443
1058,8.355555555555556,-2.222222222222223,8.355555555555556,0,0,-2.644444444444445
1059,5.28888888888889,-3.0666666666666664,5.28888888888889,0,0,-2.822222222222223
1060,2.711111111111111,-2.5777777777777784,2.711111111111111,0,0,-2.3111111111111113
1061,0.6666666666666667,-2.0444444444444443,0.6666666666666667,0,0,-1.0222222222222221
1062,0.6666666666666667,0.0,0.6666666666666667,0,0,0.6
1063,1.8666666666666667,1.2,1.8666666666666667,0,0,1.4666666666666668
1064,3.6,1.7333333333333334,3.6,0,0,1.377777777777778
1065,4.622222222222223,1.0222222222222221,4.622222222222223,0,0,1.111111111111111
1066,5.822222222222222,1.2,5.822222222222222,0,0,1.1111111111111107
1067,6.844444444444444,1.0222222222222221,6.844444444444444,0,0,1.088888888888889
1068,8.0,1.1555555555555557,8.0,0,0,1.1111111111111112
1069,9.066666666666666,1.0666666666666667,9.066666666666666,0,0,1.1111111111111116
1070,10.222222222222223,1.1555555555555566,10.222222222222223,0,0,1.0888888888888895
1071,11.244444444444445,1.0222222222222221,11.244444444444445,0,0,0.9555555555555557
1072,12.133333333333335,0.8888888888888896,12.133333333333335,0,0,0.7777777777777777
1073,12.8,0.6666666666666663,12.8,0,0,0.6666666666666661
1074,13.466666666666667,0.6666666666666663,13.466666666666667,0,0,0.5111111111111111
1075,13.822222222222223,0.35555555555555585,13.822222222222223,0,0,0.44444444444444375
1076,14.355555555555554,0.5333333333333318,14.355555555555554,0,0,0.17777777777777715
1077,14.177777777777777,-0.17777777777777792,14.177777777777777,0,0,0.0
1078,14.355555555555554,0.17777777777777792,14.355555555555554,0,0,0.0
1079,14.177777777777777,-0.17777777777777792,14.177777777777777,0,0,-0.2666666666666657
1080,13.822222222222223,-0.3555555555555539,13.822222222222223,0,0,-0.6888888888888882
1081,12.8,-1.0222222222222221,12.8,0,0,-1.355555555555556
1082,11.11111111111111,-1.6888888888888904,11.11111111111111,0,0,-1.355555555555556
1083,10.088888888888889,-1.0222222222222221,10.088888888888889,0,0,-1.3777777777777773
1084,8.355555555555556,-1.733333333333333,8.355555555555556,0,0,-1.6222222222222222
1085,6.844444444444444,-1.5111111111111115,6.844444444444444,0,0,-1.2000000000000002
1086,5.955555555555556,-0.8888888888888886,5.955555555555556,0,0,-0.7777777777777772
